"Category","Driver","Variable","Name"
"biology","biomass","Hyperiidae [ind/m3]","Hyperiidae"
"biology","biomass","Hyperoche medusarum [ind/m3]",
"biology","biomass","Limacina helicina (veliger) [ind/m3]",
"biology","biomass","Limacina retroversa [ind/m3]",
"biology","biomass","Mesaiokeras spitsbergensis [ind/m3]",
"biology","biomass","Metridia longa (AF) [ind/m3]",
"biology","biomass","Metridia longa (AM) [ind/m3]",
"biology","biomass","Metridia longa (CI) [ind/m3]",
"biology","biomass","Metridia longa (CII) [ind/m3]",
"biology","biomass","Metridia longa (CIII) [ind/m3]",
"biology","biomass","Metridia longa (CIV) [ind/m3]",
"biology","biomass","Metridia longa (CV) [ind/m3]",
"biology","biomass","Metridia lucens [ind/m3]",
"biology","biomass","Monstrilloida [ind/m3]","Monstrilloida"
"biology","biomass","Mysidae [ind/m3]","Mysidae"
"biology","biomass","Nanomia cara [ind/m3]","Nanomia cara"
"biology","biomass","Nemertea (pilidium) [ind/m3]",
"biology","biomass","Neomormonilla minor [ind/m3]",
"biology","biomass","Neoscolecithrix farrani [ind/m3]",
"biology","biomass","Oncaea parila [ind/m3]",
"biology","biomass","Oncaea spp. (AF/AM) [ind/m3]",
"biology","biomass","Onisimus glacialis [ind/m3]",
"biology","biomass","Pagurus pubescens (megalopa) [ind/m3]",
"biology","biomass","Pagurus pubescens (zoea) [ind/m3]",
"biology","biomass","Pandalus borealis (zoea) [ind/m3]",
"biology","biomass","Paraeuchaeta barbata (AF) [ind/m3]",
"biology","biomass","Paraeuchaeta glacialis (AF) [ind/m3]",
"biology","biomass","Paraeuchaeta norvegica (AF) [ind/m3]",
"biology","biomass","Paraeuchaeta spp. (AM) [ind/m3]",
"biology","biomass","Paraeuchaeta spp. (CI) [ind/m3]",
"biology","biomass","Paraeuchaeta spp. (CII) [ind/m3]",
"biology","biomass","Paraeuchaeta spp. (CIII) [ind/m3]",
"biology","biomass","Paraeuchaeta spp. (CIV) [ind/m3]",
"biology","biomass","Paraeuchaeta spp. (CV) [ind/m3]",
"biology","biomass","Paraheterorhabdus compactus [ind/m3]",
"biology","biomass","Pelagobia sp. [ind/m3]","Pelagobia sp."
"biology","biomass","Pisces (larvae) [ind/m3]",
"biology","biomass","Polychaeta (adult) [ind/m3]",
"biology","biomass","Polychaeta (metatrochophora) [ind/m3]",
"biology","biomass","Polychaeta (mitraria) [ind/m3]",
"biology","biomass","Polychaeta (secondary larvae) [ind/m3]",
"biology","biomass","Polychaeta (trochophora) [ind/m3]",
